TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Name
2023-11-24 14:28:57.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-D0F8,게임
2023-11-24 14:28:58.222,0,0.1807611711954699,0.6257436383408871,0,0,-0.2255960904297947,0.3913391784987043,0,0,0.2195383021608726,0.4235904291241285,0,0,-0.1355513714520759,0.1046947030858427,0,0,-0.3469159062759619,-0.3048877793130521,0,1180.989010989011,814.3223443223443,818.3516483516484,619.7069597069598,475.4578754578754,0.291870,0.223206,0.929077,2.100983,-4.508514,-1.794434,1,4,1,1,4,100.000000,
2023-11-24 14:28:59.223,0,0.1421402298015752,0.5285517024087142,0,0,0.0479374533949414,0.2552950673166393,0,0,0.158787979550047,0.51613224370434,0,0,0.00136808910717887,0.00482768183577718,0,0,-0.2953395395181175,-0.3073451108328976,0,21.35531135531136,813.5164835164835,818.7545787545788,995.6410256410256,777.2527472527473,0.294128,0.220886,0.933228,2.422485,-4.142151,-2.168274,1,4,1,1,2,100.000000,
2023-11-24 14:29:00.223,0,-0.1514191081280236,0.02848389341688178,0,0,0.02811108748216985,-0.1309296550381164,0,0,0.1879811450064623,0.1831363536661444,0,0,-0.09885542491771017,-0.03627453715052751,0,0,-0.5041284004156596,-0.2952687574578788,0,157.948717948718,811.5018315018315,809.0842490842491,1612.930402930403,813.5164835164835,0.289795,0.220215,0.930847,3.125305,-4.994507,-1.876678,1,4,1,1,2,100.000000,,
2023-11-24 14:29:01.223,0,-0.1143953179629305,0.214676503513769,0,0,-0.2494410572904249,-0.03964447407963671,0,0,0.2067475254898855,0.03289745522833207,0,0,-0.1090118160843558,0.1138911741370153,0,0,-0.7258120029987511,-0.1980346690772554,0,1108.864468864469,801.4285714285714,833.2600732600733,629.7802197802198,469.010989010989,0.276489,0.255066,0.933533,3.970184,-4.179535,-2.003784,1,2,1,1,2,100.000000,
2023-11-24 14:29:02.227,0,0.5287492500803884,0.360333099799501,0,0,0.016875842269395,0.09424926659241736,0,0,0.08928642117194679,0.224133840580617,0,0,0.006621803062453957,0.1096870033925021,0,0,-0.5598130842094945,-0.1883835588572797,0,1641.941391941392,810.2930402930403,808.2783882783883,1036.739926739927,657.1794871794872,0.282715,0.235779,0.933716,2.370148,-4.523468,-1.360779,1,2,1,1,4,100.000000,
2023-11-24 14:29:03.233,0,0.2508481708319614,0.3473538816169354,0,0,-0.1679455144572146,0.1918617843528991,0,0,0.1883405499809058,0.3785475960185118,0,0,0.04770365200274097,0.1196571340994799,0,0,-0.4957319892540577,-0.1686058790838896,0,650.7326007326008,811.0989010989011,826.4102564102565,599.9633699633699,545.9706959706959,0.283936,0.236084,0.930786,1.704712,-4.673004,-1.809387,1,2,1,1,4,100.000000,
2023-11-24 14:29:04.223,0,0.1833004223290769,0.5453171334413287,0,0,-0.09468690697652633,0.2053556084021767,0,0,0.5014602474270804,0.4565128252147997,0,0,0.01033694211866804,0.2167615633243506,0,0,-0.3557683591109559,-0.2958568519267303,0,1049.6336996337,803.4432234432235,828.8278388278388,620.5128205128206,469.010989010989,0.285400,0.227905,0.929871,2.504730,-4.463654,-2.609406,1,2,1,1,2,100.000000,
2023-11-24 14:29:05.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,
2023-11-24 14:29:05.223,0,0.3709131662375204,0.9020183478499297,0,0,-0.09269354496702696,-0.03344019045119449,0,0,0.1936269035391597,0.4480251723689663,0,0,0.1598353240310703,0.1730706391962394,0,0,-0.2713513888379104,-0.2710535173508851,0,1614.139194139194,810.2930402930403,836.4835164835165,1110.476190476191,751.8681318681319,0.285706,0.236816,0.926147,3.319702,-4.717865,-2.504730,1,4,1,1,4,100.000000,
2023-11-24 14:29:06.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,
